player,6,5
accepted,7,2
brick,-7,13
brick,-6,13
brick,-5,13
brick,-4,13
brick,-3,13
brick,-2,13
brick,-1,13
brick,0,13
brick,1,13
brick,2,13
brick,3,13
brick,4,13
brick,5,13
brick,6,13
brick,7,13
brick,-2,12
brick,0,12
brick,1,12
brick,4,12
brick,5,12
brick,6,12
brickstep,3,12
brick,-2,11
brick,-1,11
brick,0,11
brick,1,11
brick,3,11
brickstep,6,11
brickstep,7,11
rightstep,-6,10
clonespawn,-4,10
leftobj,-3,10
brick,0,10
brick,1,10
brick,3,10
brick,4,10
brick,5,10
downobj,-4,9
downstep,-4,9
upobj,-2,9
upstep,-2,9
brick,0,9
brick,1,9
brick,4,9
brick,5,9
brick,6,9
brick,0,8
brick,0,7
brick,0,6
brick,0,5
brick,0,4
brick,0,3
brick,0,2
brick,0,1
brick,0,0
brick,0,-1
brick,0,-2
brick,0,-3
brick,0,-4
brick,0,-5
brick,1,8
brick,1,7
brick,1,6
brick,1,5
brick,1,4
brick,1,3
brick,1,2
brick,1,1
brick,1,0
brick,1,-1
brick,1,-2
brick,1,-3
brick,1,-4
brick,1,-5
rightobj,-3,8
brickstep,6,8
leftstep,-6,7
brick,-2,7
brick,-1,7
leftstep,6,7
leftobj,6,7
brick,-2,6
brick,3,6
brick,4,6
brick,6,6
brick,7,6
brick,-7,5
brick,-6,5
brick,-5,5
brick,-4,5
brick,-3,5
brick,-2,5
brick,-1,5
brick,2,5
brick,3,5
brick,4,5
clonespawner,7,5
brick,-7,4
brick,-6,4
brick,-5,4
brick,-4,4
brick,-3,4
brick,-2,4
brick,-1,4
brick,2,4
brick,3,4
brick,4,4
brick,5,4
brick,6,4
brick,7,4
clonespawn,-4,3
brick,2,3
rightobj,6,3
rightstep,6,3
leftobj,-6,2
brickstep,-3,2
brick,2,2
brick,4,2
brick,6,2
brickstep,6,2
brick,2,1
brick,4,1
brick,5,1
rightstep,-6,0
brick,-5,0
brick,-4,0
brick,-1,0
brick,7,0
upobj,-3,0
upstep,-3,0
brickstep,3,0
brick,-7,-1
brick,-6,-1
brick,-5,-1
brick,-4,-1
brick,-2,-1
brick,-1,-1
brick,6,-1
brickstep,4,-1
leftstep,-6,-2
brick,-5,-2
brick,-4,-2
brick,-1,-2
downobj,-3,-2
downstep,-3,-2
brickstep,5,-2
brick,-2,-3
brick,2,-3
brick,4,-3
brickstep,6,-3
rightobj,-6,-3
brickstep,-3,-4
brick,4,-4
brick,5,-4
brickstep,7,-4
brick,-7,-5
brick,-6,-5
brick,-5,-5
brick,-4,-5
brick,-3,-5
brick,-2,-5
brick,-1,-5
brick,2,-5
brick,3,-5
brick,4,-5
brick,5,-5
brick,6,-5
brick,7,-5
chapter 2-16,3 rooms,
