player,0,11
accepted,2,3
brick,-7,13
brick,-6,13
brick,-5,13
brick,-4,13
brick,-3,13
brick,-2,13
brick,-1,13
clonespawner,0,13
brick,1,13
brick,2,13
brick,3,13
brick,4,13
brick,5,13
brick,6,13
brick,7,13
brick,-7,12
brick,-5,12
brick,-4,12
brick,3,12
brick,5,12
brick,6,12
brick,7,12
brickstep,4,12
rightobj,-1,12
rightstep,-1,12
upstep,1,12
upobj,1,12
brick,-7,11
brickstep,-6,11
leftstep,-1,11
leftobj,-1,11
downstep,1,11
downobj,1,11
brickstep,4,11
brick,5,11
brick,6,11
brick,7,11
brick,-7,10
brick,-5,10
brick,-4,10
brick,0,10
brick,2,10
brick,3,10
brick,5,10
brickstep,6,10
brick,7,10
brickstep,-6,10
brickstep,0,10
brick,-7,9
brick,-6,9
brick,-5,9
brick,-4,9
brick,-1,9
brick,1,9
brick,3,9
brick,7,9
brickstep,-1,9
brick,-7,8
brick,-6,8
brick,-4,8
brick,-3,8
brick,-2,8
brick,-1,8
brick,0,8
brick,1,8
brick,4,8
brick,5,8
brick,7,8
brickstep,0,8
brickstep,6,8
brick,-7,7
brick,-6,7
brick,0,7
brick,4,7
brick,5,7
brick,6,7
brick,7,7
brick,-7,6
brick,-6,6
brick,1,6
brick,2,6
brick,3,6
brick,4,6
brick,5,6
brick,6,6
brick,7,6
brick,-7,5
brick,-6,5
brick,-5,5
brick,-2,5
brick,-1,5
brick,0,5
brick,1,5
brick,3,5
brick,4,5
brick,5,5
brick,6,5
brick,7,5
brick,-7,4
brick,-6,4
brick,-1,4
brick,0,4
brick,1,4
brick,3,4
brick,4,4
brick,5,4
brick,6,4
brick,7,4
brick,-7,3
brick,-6,3
brick,-5,3
brick,-2,3
brick,-1,3
brick,0,3
brick,4,3
brick,5,3
brick,6,3
brick,7,3
brickstep,2,4
brickstep,1,3
brick,-7,2
brick,-6,2
brick,-1,2
brick,0,2
brick,4,2
brick,5,2
brick,6,2
brick,7,2
brick,-7,1
brick,-6,1
brick,-5,1
brick,-4,1
brick,-3,1
brick,-2,1
brick,-1,1
brick,0,1
brick,1,1
brick,2,1
brick,3,1
brick,4,1
brick,5,1
brick,6,1
brick,7,1
brick,-7,0
brick,-6,0
brick,-5,0
brick,-4,0
brick,-3,0
brick,-2,0
brick,-1,0
brick,0,0
brick,1,0
brick,2,0
brick,3,0
brick,4,0
brick,5,0
brick,6,0
brick,7,0
brickstep,1,9
brickstep,6,9
clonespawn,0,9
chapter 2-14,cave?,
