player,0,4
accepted,0,4
clonespawner,1,4
brick,-3,5
block,-2,5
brickstep,-1,5
block,0,5
block,1,5
block,3,5
brickstep,2,5
brick,4,5
block,-3,4
clonespawn,-2,4
block,-1,4
block,2,4
block,4,4
clonespawn,3,4
brick,-2,3
brickstep,-1,3
block,0,3
block,1,3
block,2,3
brick,3,3
block,4,3
block,-3,2
brick,-1,2
clonespawn,0,2
brick,1,2
brick,-3,1
block,-2,1
brick,0,1
block,1,1
block,4,1
block,1,0
block,3,0
brick,4,0
block,0,-1
brick,1,-1
brickstep,-3,3
brickstep,4,2
brick,2,0
chapter 3-3,oops, clones want to exit.,
