player,-2,5
accepted,2,5
brick,-4,4
brick,-4,6
brickstep,-3,3
brickstep,-3,5
brickstep,-3,7
brick,-3,5
brick,-2,7
brick,-2,6
brick,-2,4
brick,-2,3
brick,-1,5
brickstep,-1,6
brickstep,-1,5
brickstep,-1,4
brick,0,6
brick,0,5
brick,0,4
brick,1,6
brick,1,4
brick,2,6
brick,2,4
brick,3,5
brick,1,5
brickstep,3,5
brick,4,4
brick,4,5
brick,4,6
brick,-6,9
brick,-6,8
brick,-6,7
brick,-6,6
brick,-6,5
brick,-6,4
brick,-6,3
brick,-6,2
brick,-6,1
brick,-7,9
brick,-7,8
brick,-7,7
brick,-7,6
brick,-7,5
brick,-7,4
brick,-7,3
brick,-7,2
brick,-7,1
brick,-5,9
brick,-4,9
brick,-3,9
brick,-2,9
brick,-1,9
brick,0,9
brick,1,9
brick,2,9
brick,3,9
brick,4,9
brick,-5,8
brick,-4,8
brick,-3,8
brick,-2,8
brick,-1,8
brick,0,8
brick,1,8
brick,2,8
brick,3,8
brick,4,8
brick,-5,2
brick,-3,2
brick,-4,2
brick,-2,2
brick,-1,2
brick,0,2
brick,1,2
brick,2,2
brick,3,2
brick,4,2
brick,-5,1
brick,-3,1
brick,-4,1
brick,-2,1
brick,-1,1
brick,0,1
brick,1,1
brick,2,1
brick,3,1
brick,4,1
brick,5,9
brick,5,8
brick,5,7
brick,5,6
brick,5,5
brick,5,4
brick,5,3
brick,5,2
brick,5,1
chapter 1-3,밀어야 되나.. 말아야 되나..
